clean_text,sentimiento,sentimiento_escalado
"its not topics that are easy difficult its the questions spite multiple failures jobs economy demonetisation etc modi can continue the facade development its simply because media rarely asks him the tough questions
",-0.7579,0.12104999999999999
modi lives for poor will die for poor ,-0.8779,0.06104999999999999
modi govt lost more money due depreciation inr exports productn business sick jobs decreased depression allover onces new govt comes kick start sytm india will start producing gds ser will appreciate gst will made simple ppl will earn more,-0.765,0.1175
dont believe will voted power but believe this presumptive question that will surely destroy all modi initiated projects unlike taking all shit along,-0.7783,0.11085
just wait this time even evm will not help modi from defeat,-0.6437,0.17814999999999998
"whatever
but for misrule modi murder never celebrated our beloved nation",-0.9442,0.02789999999999998
making such escapist comments confirms prejudices and negative biases people like you who are blind followers incompetent modi first learn respect indian scientific institutions like drdo isro instead leaking enemies and cronies,-0.8126,0.0937
even 2024 hell rally the last years and nehru and chamanchutiya bhakts will still asking not modi then who,-0.6808,0.15960000000000002
kid with just seat brought 272 seats and into chaos which you could not ☺ rahul gandi david who will defeat goliath modi may 2019,-0.8474,0.07629999999999998
all lutyens naxels are shamelessly after modi italian family says something you drink fevicol and btw you all dont see the loot opposition but how can modi say bad words them salute all presstitutes ,-0.7543,0.12285000000000001
when congress still using war war with indira and lbs why not modi who the democratic head under which armed forces work every day you shouts that everything have day given nehru visviserya bidhan roy vikram sarabhai bhaba kalam,-0.8316,0.0842
"modi going lose varanasi
people are feeling cheated with dramabaazi and jumalabaazi
lets wait and see
they should worry about losing rather thinking about coming irani match all",-0.875,0.0625
"copypasting american outrage models india since time immemorial
wahan kisi trump saath haath mila liya cancelled yahan kisi modi sir keh diya point his existence",-0.6486,0.17570000000000002
another idiot facebook criticising modi and his bhakts for not praising nehru for isro achievements destroyed with facts everyone reading please make point respond any such false narratives with calm mind cant let propagate ,-0.8151,0.09244999999999998
you anti national how dare attack our dear prime minister modi for not creating jobs years and being completely incompetent this velied attack our most beloved modiji,-0.7641,0.11795
"you see tweets liberals you will get that they hate much that they cant even celebrate achievement they are abusing modi for reason
common you moron",-0.9169,0.041549999999999976
this was deve gowda 2014  will leave karnataka modi becomes these politicians sometimes loose hatred they amnesia mode later ,-0.7717,0.11414999999999997
current account defecitnat its highest level modi govt has already taken more than 45lac crore debt missing revenue targetsas had predicted the time the budget economy jeopardy time for change ,-0.7783,0.11085
you probably fake some jihadi indian are saying that the indian air force lying that hit the targets abhinandan shot down f16 and then accidentally landed the pak side bcz the outdated mig plane and you consider modis fault,-0.891,0.05449999999999999
pakistani urdu newspaper uses abusive language for modi and his mother theprints snehesh alex philip reports ,-0.6369,0.18155
for votes purpose modi govnt add chowkidar actually they dont deserve those words because there are lots students fighting from last few days just ignore like their corrupted things not visible need justice for 22nd jan shift1 normalization process ,-0.6458,0.17709999999999998
man seeks supari facebook kill modi with foolproof plan arrested jaipur ,-0.7351,0.13245
today anyone question the promises made fenku remind him his promises labeled antinational fact has become crime and people are threatened and put jail the name antinational this arrogant government ,-0.7227,0.13865
fearing strike indian army isi and lashkar decide shut down four terror camps pok jai modi,-0.8225,0.08875
modi effect now visible confused pakistan wait for some more time pak will collapse under its own weight jai hind,-0.6705,0.16475
please stop with this lying show media article blaming manmohan singh for terror atrack nobody blamed india for attack maybe they cited intelligence failure but never called out the govt here also have voices saying modi got the attack done himselfn know that,-0.9153,0.04235
any bhakt who abuse for this tweet actually abusing late parrikar its not but said the decision was taken modi modi alone had taken the decision purchase rafale that the violation the law ,-0.8555,0.07224999999999998
"they support trollers
have ever checked trollers supporting modi its fake propaganda
highly abusive and cheap thinking remarks are given
social media have become platform for abuse",-0.8479,0.07605
shameful why nations dont conduct this anti missile test because debris flying all over space and hitting other satellites there but the buffoon disregarded that,-0.744,0.128
modi never said that rahul needs rewind listen what modi said when spoke the amount indian money lying swiss bank accounts people are well informed this rahul just making fool himself all his public meetings,-0.6369,0.18155
know they are better then all parties but sir gussa rrb alp cbt scam sahi question galat kar diye kya kahe aapki govt anpad upar koi sun bhi nahi raha request hume insaaf dilao are not against modi but galti jarur against jayenge ,-0.5023,0.24885000000000002
narendra modi hardline hindu politics failing indias ,-0.5106,0.24469999999999997
being anti modi means nothing and you people are not challenging the root cause all,-0.4106,0.29469999999999996
had the capability 2010 but lacked political will that was always the missing ingredient till modi,-0.4215,0.28925
thanks bloody modi for xposing poor iaf ,-0.4767,0.26165
what gigantic fraud raghuram rajan turned out once again full marks team modi for early detection and disinfestation ,-0.5859,0.20705
congress blinded modi hate has stopped thinking nation’ interest modi ,-0.3818,0.30910000000000004
